(00:00) おはようございます。ご上世ドラの
(00:02) メルカリかっちゃんです。本日は1日店舗
(00:07) 仕入れです。ま、こんな感じで僕は5畳の
(00:11) 部屋を都どいじて背取りやってます。本日
(00:15) なんですが、ま、2店舗ぐらい巡りたいか
(00:18) なと思ってて早速行きたいところなんです
(00:21) けど、ま、寝癖だったりとかも色々あの
(00:23) 寝起きなので色々整えてから、え、行こう
(00:26) かなと思います。天ンって言います。天の
(00:29) 可愛さをね、ちょっと、ま、皆さんにね、
(00:31) あの、紹介しようかなと思って。うちの
(00:34) アイドルス店
(00:37) に相手2匹に、ま、1匹にいるんですけど
(00:39) 、この子の立ちのためにあの手取りで
(00:42) 稼げると言ってもね、囲んでやんないよね
(00:45) 。いいおやつが食べたいもんね。いいご飯
(00:47) 食べたやもんね。毎日背取りやってるわけ
(00:50) じゃなくて、もう自分のスタイルを崩さず
(00:53) ゆるゆるやってるって感じですね。ま、
(00:55) 背取りのあの知識だったりとかノーハウっ
(00:58) ていうところをね、反応ポイントだったり
(00:59) とかもそうですけど、ま、そこら辺も
(01:01) ちゃんとしっかり皆さんにお伝えできれば
(01:03) いいかなと思ってますので、いいねと、え
(01:05) 、チャンネル登録だけよろしくお願いし
(01:08) ます。それでは、え、準備して行ってき
(01:11) ます。今回は2店舗、あの、巡りたいと
(01:14) 思います。僕のスタイル的には1日2店舗
(01:17) から3店舗行ったり、多い日には45店舗
(01:21) 回ったりする日もあります。でも毎日店舗
(01:23) 行ってるわけじゃなくて、本当に開いた
(01:25) 時間とか開いた日に店舗を巡って
(01:28) るっていう感じのスタイルなので、あまり
(01:30) 無理せずって感じでやってます。極力
(01:33) 小さなもの、ま、中くくらいのもの、
(01:35) 大きなものを本当に使わずに高回転でこう
(01:37) 利益のものを狙ってるっていう感じで、
(01:40) もうこんなスタイルで、あの、やってます
(01:42) 。ていうことで早速店舗へ行ってきます。
(01:44) 行きます。
(01:48) いやあ、風が強くて、風が強いので、あの
(01:52) 、防発しました。せっかく持ってきたの。
(01:57) 到着しました。トルファクスタイルにやっ
(01:59) てきました。主にショケースとかクッとか
